Constellation,min_ra,max_ra,min_dec,max_dec,pad_deg,n_kept,center_ra,center_dec
Aquarius,337.37455844534,360.1662926105,-25.22567545541,-2.4616245677500004,2.0,14,350.8492803193157,-14.409479694759284
Aquila,298.87508656395,305.5694998678,10.22828248594,18.03121591396,2.0,3,302.21719590182994,14.485786859260001
Canis Major,91.24651428469,104.15525376154,-33.17446097694,-22.97489288291,2.0,7,97.63507218845858,-28.771196622087142
Centaurus,172.95809534775,215.75665384049,-65.58107294228,-35.65066190436,2.0,4,191.70723981252502,-56.60432150829
Cetus,5.91987630822,41.28993938397,-12.04130498644,5.76932054607,2.0,17,27.157293772351764,-2.709651110974706
Columba,84.30444094026,93.52313534713,-36.47619190709,-27.75880719084,2.0,5,88.762815632666,-33.178234089614
Delphinus,301.715549828,316.63433997935,4.0081501709300005,20.05136033633,2.0,26,309.5307477949546,11.99603546481077
Equuleus,313.66796339442004,322.84900470722,0.7661862680099998,13.65709233268,2.0,5,318.279975864236,7.822656823394
Lepus,73.97208798410999,84.37918623323002,-28.5851437693,-19.03968522121,2.0,5,79.92651360024202,-23.194254136904
Pegasus,316.37011151995,333.64133616465,8.09342881783,25.39460040838,2.0,21,326.35439499903094,16.017607407118096
Pisces,-1.4889252638400001,28.47909198236,-5.4753169146200005,18.0376036636,2.0,14,13.277700462965713,6.322020537543572
Sagitta,293.58056686898,302.99757331947,14.493700224560001,20.4656697377,2.0,5,298.664515950148,17.145870914321996
Sculptor,349.88919776802004,359.23194377728,-30.13074342707,-23.420618473729995,2.0,4,353.816542551915,-26.9264474069325
Vulpecula,291.3212433353,315.59331436367,18.4143707847,30.52197295941,2.0,28,304.19008984145,23.974119643068573
