Constellation,min_ra,max_ra,min_dec,max_dec,pad_deg,n_kept,center_ra,center_dec
Andromeda,-1.81807757877,27.51614585275,36.75429286669,51.42960690068,2.0,29,14.791028138622414,43.299764776308976
Aries,31.42253009671,43.86480869933,15.75672062016,29.60372063891,2.0,15,37.74072641084201,22.414751575912003
Auriga,77.12067679848,100.79236185468,34.07180469486,57.65671466071,2.0,9,90.22333628598444,51.76947531617
Boötes,207.77193168093,222.6649948785,16.911664282910003,40.79400028756,2.0,12,214.51943190898,29.05233094768417
Camelopardalis,50.5004020532,80.66071003633999,50.84109935277,65.59685321767,2.0,16,57.96703290171688,58.19396542598187
Cancer,119.26854590933998,131.07251472848998,11.11793654777,22.39002352992,2.0,11,125.86074590785364,16.682823012736364
Canes Venatici,190.17374975862,210.29222105253,26.64826005195,51.68213630008,2.0,12,199.5503385008492,39.84821362737833
Canis Major,97.64756523978,113.2782139731,-22.64034391823,-10.39394723614,2.0,15,104.91291807011066,-16.931621465463998
Canis Minor,107.65039511831,122.30777111064,-1.72138103261,6.87991999222,2.0,4,115.42481192285751,2.2933664347725
Cassiopeia,-1.65991606387,17.66532400606,48.96812889649,65.67964981813,2.0,18,6.017327303939999,59.64177756869833
Cepheus,346.6552794657,394.62581064197,69.80712952105,86.60681028679,2.0,16,14.684777371843749,79.5768298055425
Cetus,39.84587750265,47.962766646400006,-1.03002921751,11.30744313306,2.0,14,44.795739646172855,3.3968552903271423
Corona Borealis,232.10902084088,247.73552913753,30.3329778027,40.07252852457,2.0,9,240.03130656675108,35.39249844867888
Cygnus,298.87247766983995,325.75814934878,27.72683964493,43.13852864628,2.0,28,308.4897824150421,33.90017217125464
Draco,226.24116891762,292.41833251063,46.76776864368,85.90494422465,2.0,24,252.69831530106333,57.06266684576542
Gemini,99.29166803465,115.84987703145,25.63792298993,35.61430709072,2.0,9,107.55372097127777,32.35943313753778
Hercules,259.6843393356,273.77622500157,39.94669427857001,51.77987860844,2.0,8,266.963263578705,48.7091338072775
Hydra,129.12968363401,142.91782222665,-0.71984927187,7.83768158291,2.0,12,135.50166622456916,4.2082387032175
Lacerta,328.86524792975,346.26882118736,45.09564707460999,58.4085089399,2.0,23,337.45120654196,51.576002157716964
Leo,142.23783992071,156.73925214476003,15.705805907920002,33.076824502760005,2.0,6,149.660484573435,24.819957131475004
Leo Minor,153.7718638017,159.65003578898998,31.90812043703,38.27319736606,2.0,4,156.45412630778998,35.406636095045
Lepus,72.6512114618,94.31328569788,-23.12241351219,-10.31085940609,2.0,10,84.64067473111899,-15.153026877187997
Lynx,92.90567921603,118.01737035553002,48.43367672266,62.77777436107,2.0,6,107.17116934488,53.842380101645
Lyra,272.45163416611,290.00139913657995,35.60520976092,49.57538799785999,2.0,13,280.9215785212585,42.85879348987308
Monoceros,94.74507874022,112.50860432538,-10.97932104961,8.72409104126,2.0,14,104.08584957916501,-0.3693347234564284
Orion,81.2806053554,95.18569879949,-11.04175858024,0.41947074393999983,2.0,8,87.58784876073125,-4.6378853028325
Pegasus,326.74472748567,349.5714608532,25.98858083515,37.43778476687,2.0,15,342.7651605176819,32.06294650626
Perseus,57.31776821277,73.75893157476999,35.54265366483,48.49872278243,2.0,23,65.97102026878174,40.57752284052391
Pisces,9.80728171932,20.5870373987,17.57874245706,34.45576681518,2.0,9,15.105118051977778,26.324224104168888
Serpens,230.95195606416,242.69247971838,10.72358787733,26.70855818692,2.0,9,236.46202558443116,18.171228949404444
Taurus,54.20099235354,61.76430129256,19.32351209727,27.68270945074,2.0,14,56.90251088975001,24.060588671577143
Triangulum,34.52133323306,44.608639335540005,27.68699386342,36.58431503205,2.0,20,38.563389327801005,31.725718655078992
Ursa Major,152.46013654023997,207.96723681268003,53.1594951738,73.06049458045,2.0,14,173.22502604965143,61.97127920773287
Ursa Minor,234.01507917363,256.04211265781,73.87761974115,80.96432577552,2.0,4,250.4963481227275,77.7892986800675
Virgo,224.02622987567003,228.61617635682003,1.00913922704,7.49542755161,2.0,4,226.2904012741975,4.557692739735
